VentaID,FechaVenta,HoraVenta,SucursalNombre,CiudadSucursal,VendedorNombre,ClienteNombre,GeneroCliente,EdadCliente,EmailCliente,TelefonoCliente,DireccionCliente,MetodoPago,NombreProducto1,MarcaProducto1,CantidadProducto1,PrecioUnitarioProducto1,SubtotalProducto1,NombreProducto2,MarcaProducto2,CantidadProducto2,PrecioUnitarioProducto2,SubtotalProducto2,NombreProducto3,MarcaProducto3,CantidadProducto3,PrecioUnitarioProducto3,SubtotalProducto3,DescuentoVenta,TotalVenta,AñoVenta,MesVenta
11,07/03/2016,06:38 a. m.,TechCore Cali,Cali,Rosendo Barberá Cordero,Fanny Riquelme Donoso,F,48,fanny39@hotmail.com,+34820005586,cra 17 #85-95,Tarjeta Débito,HP Pavilion 15,HP,2,3500000,7000000,Dell Alienware m15,Dell,20.0,80000000.0,160000000.0,,,,,,0,230000000,2016,3
12,29/11/2019,03:53 p. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Delfina Benitez Huguet,F,35,delfina48@hotmail.com,+34 881 96 96 96,cll 74 #6-82,Billetera Digital,HP Spectre x360,HP,2,5200000,10400000,,,,,,,,,,,0,104000000,2019,11
13,12/06/2015,11:35 a. m.,TechCore Medellín #2,Medellín,Almudena Adelaida Lledó Garrido,Augusto Murcia-Almazán,M,32,augusto87@hotmail.com,+34875 10 81 17,cra 13 #5-79,Tarjeta Débito,HP Envy 13,HP,2,4000000,8000000,,,,,,,,,,,0,80000000,2015,6
14,20/10/2019,07:11 p. m.,TechCore Pereira,Pereira,Jose Angel Rovira Adadia,Carmina del Collado,F,35,carmina84@yahoo.com,+34973 52 21 99,cll 34 #61-14,Tarjeta Crédito,Lenovo Legion 5 Pro,Lenovo,2,7200000,14400000,Lenovo IdeaPad 5,Lenovo,20.0,28000000.0,56000000.0,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,0,244000000,2019,10
15,23/04/2024,10:29 p. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Samu Pepito Palomino Mancebo,M,25,samu28@hotmail.com,+34 730 62 33 02,cra 40 #60-34,Billetera Digital,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,Samsung Galaxy Book Pro,Samsung,20.0,48000000.0,96000000.0,,,,,,0,168000000,2024,4
16,12/02/2023,06:46 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Raimundo Murcia Moraleda,M,44,raimundo91@gmail.com,+34 974 797 672,cll 68 #20-46,Tarjeta Crédito,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,,,,,,15,163200000,2023,2
17,04/02/2016,02:10 p. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Leandro Pereira Coca,M,36,leandro51@gmail.com,+34 718 167 173,cra 96 #19-82,No especificado,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,Dell Latitude 7420,Dell,20.0,56000000.0,112000000.0,HP Spectre x360,HP,10.0,52000000.0,52000000.0,0,236000000,2016,2
18,15/10/2020,07:48 p. m.,TechCore Bogotá #2,Bogotá,Olivia Armas Ayuso,Pepito Rebollo Bueno,M,29,pepito31@hotmail.com,+34 822 397 941,cll 94 #24-74,Transferencia,HP Omen 16,HP,1,6000000,6000000,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,,,,,,5,98800000,2020,10
19,17/11/2019,04:30 a. m.,TechCore Pereira,Pereira,Carina Parejo Carranza,Pastora Novoa Perea,F,46,pastora49@gmail.com,+34732 033 755,cra 67 #18-94,No especificado,Dell Inspiron 15,Dell,1,3000000,3000000,HP Spectre x360,HP,10.0,52000000.0,52000000.0,Acer Swift 3,Acer,20.0,26000000.0,52000000.0,0,134000000,2019,11
20,20/12/2014,02:26 p. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Benito Samper Salcedo,M,49,benito98@gmail.com,+34 921357971,cra 5 #10-32,Transferencia,Apple iMac 24,Apple,2,6400000,12800000,Apple MacBook Pro 14,Apple,20.0,80000000.0,160000000.0,Apple MacBook Air M1,Apple,20.0,55000000.0,110000000.0,0,398000000,2014,12
21,26/10/2016,07:52 p. m.,TechCore Medellín #1,Medellín,Liliana Jordá Armengol,Juan Carlos Zorrilla Torrens,M,18,juan8@yahoo.com,+34888 19 13 19,cra 9 #12-5,Tarjeta Débito,HP Spectre x360,HP,2,5200000,10400000,Apple MacBook Air M1,Apple,10.0,55000000.0,55000000.0,,,,,,1,143100000,2016,10
22,05/06/2023,06:19 a. m.,TechCore Medellín #1,Medellín,Liliana Jordá Armengol,Máximo Díaz Millán,M,24,máximo25@hotmail.com,+34841 14 16 52,cra 71 #97-18,Efectivo,Samsung Galaxy Chromebook 2,Samsung,2,2000000,4000000,Dell Latitude 7420,Dell,20.0,56000000.0,112000000.0,,,,,,0,152000000,2023,6
23,23/11/2018,12:57 p. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Luis Miguel Díaz Fonseca,M,49,luis88@yahoo.com,+34 975681419,cll 32 #61-83,Tarjeta Crédito,Asus VivoBook 15,Asus,1,2400000,2400000,Microsoft Surface Go 3,Microsoft,20.0,30000000.0,60000000.0,Dell Alienware m15,Dell,10.0,80000000.0,80000000.0,0,164000000,2018,11
24,26/02/2020,05:45 p. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Juanita de Reig,F,45,juanita46@yahoo.com,+34 972681005,cll 69 #73-59,Tarjeta Débito,Dell Inspiron 15,Dell,2,3000000,6000000,Apple MacBook Pro 14,Apple,10.0,80000000.0,80000000.0,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,5,262200000,2020,2
25,22/01/2020,04:22 a. m.,TechCore Pereira,Pereira,Carina Parejo Carranza,Evita Torrecilla Rivas,F,32,No especificado,+34 824127866,cra 63 #13-93,Tarjeta Débito,Apple MacBook Air M1,Apple,2,5500000,11000000,Asus ROG Strix G15,Asus,10.0,64000000.0,64000000.0,Dell Alienware m15,Dell,10.0,80000000.0,80000000.0,0,254000000,2020,1
26,01/09/2025,05:23 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Amado Cecilio Borrell Blanca,M,27,amado31@yahoo.com,+34944575665,cra 26 #66-65,Tarjeta Débito,Dell Alienware m15,Dell,1,8000000,8000000,,,,,,,,,,,0,80000000,2025,9
27,06/03/2023,09:09 p. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Ulises Taboada Bru,M,26,ulises4@gmail.com,+34749886498,cra 16 #35-93,Transferencia,Dell XPS 13,Dell,1,4800000,4800000,,,,,,,,,,,15,40800000,2023,3
28,05/10/2021,08:32 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Tristán Montesinos Lorenzo,M,30,tristán2@gmail.com,+34883 410 463,cll 4 #80-36,Transferencia,HP Omen 16,HP,1,6000000,6000000,Asus ROG Strix G15,Asus,10.0,64000000.0,64000000.0,,,,,,5,117800000,2021,10
29,05/06/2016,05:32 p. m.,TechCore Cali,Cali,Jacinta Juárez Marín,Crescencia Segura Salas,F,25,crescencia37@gmail.com,+34 974 23 26 29,cll 35 #77-31,Tarjeta Débito,Dell XPS 13,Dell,1,4800000,4800000,,,,,,,,,,,0,48000000,2016,6
30,02/12/2016,04:08 a. m.,TechCore Bogotá #1,Bogotá,Aura del Bermúdez,Tomasa Benito Casanova,F,35,tomasa98@hotmail.com,+34 800 25 62 89,cra 52 #3-43,Transferencia,Asus ZenBook 14,Asus,1,3800000,3800000,Lenovo IdeaPad 5,Lenovo,20.0,28000000.0,56000000.0,Asus VivoBook 15,Asus,20.0,24000000.0,48000000.0,0,142000000,2016,12
31,07/11/2024,09:30 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Daniel Dalmau,M,34,daniel87@hotmail.com,+34 704 190 563,cll 22 #4-10,No especificado,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,,,,,,,,,,,0,72000000,2024,11
32,08/12/2016,01:38 a. m.,TechCore Bogotá #1,Bogotá,Evaristo Guillen Peña,Ruy Gras,M,26,ruy83@yahoo.com,+34 820 88 95 30,cra 64 #17-98,Tarjeta Crédito,Apple MacBook Pro 14,Apple,2,8000000,16000000,Apple MacBook Pro 16,Apple,20.0,96000000.0,192000000.0,,,,,,5,334400000,2016,12
33,09/11/2014,05:21 a. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Alcides Cal Novoa,M,27,alcides57@hotmail.com,+34 807 85 95 30,cll 16 #9-53,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,,,,,,,,,,,15,115600000,2014,11
34,15/04/2019,02:05 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,María Dolores Chaparro Mendoza,F,31,maría45@gmail.com,+34 957 78 96 40,cll 87 #16-57,Billetera Digital,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,,,,,,,,,,,0,136000000,2019,4
35,12/07/2018,02:38 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Virginia Campo Nicolás,F,38,virginia39@hotmail.com,+34 710 422 204,cll 4 #20-33,Tarjeta Crédito,Asus ZenBook 14,Asus,1,3800000,3800000,,,,,,,,,,,1,34200000,2018,7
36,25/05/2020,03:33 p. m.,TechCore Bogotá #1,Bogotá,Evaristo Guillen Peña,Eligio Baena-Fabra,M,40,eligio3@hotmail.com,+34881 17 04 87,cll 30 #7-13,Tarjeta Crédito,MSI GS66 Stealth,MSI,2,8000000,16000000,Samsung Galaxy Book Pro,Samsung,10.0,48000000.0,48000000.0,,,,,,1,187200000,2020,5
37,07/06/2018,11:06 a. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Eladio Carmelo Arellano Benavides,M,28,eladio27@yahoo.com,+34856 577 487,cll 89 #71-2,Tarjeta Crédito,Asus ZenBook 14,Asus,2,3800000,7600000,,,,,,,,,,,0,76000000,2018,6
38,09/07/2021,10:32 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Consuela del Rubio,F,42,consuela56@yahoo.com,+34735771746,cll 74 #62-24,Tarjeta Crédito,Dell XPS 13,Dell,2,4800000,9600000,HP Spectre x360,HP,20.0,52000000.0,104000000.0,,,,,,1,180000000,2021,7
39,01/05/2021,10:23 a. m.,TechCore Medellín #2,Medellín,Luisina Lasa,Victoriano Ocaña Perales,M,18,victoriano88@hotmail.com,+34875 084 762,cll 39 #99-93,Tarjeta Débito,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,,,,,,,,,,,0,72000000,2021,5
40,26/04/2023,01:00 p. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Adrián Roda Pareja,M,30,adrián63@hotmail.com,+34 978063493,cll 29 #24-95,Billetera Digital,Dell Latitude 7420,Dell,2,5600000,11200000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,Apple MacBook Pro 14,Apple,20.0,80000000.0,160000000.0,0,340000000,2023,4
41,07/04/2023,05:38 a. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Juan Bautista Carrión Barros,M,37,juan28@hotmail.com,+34 878357287,cll 76 #84-70,Tarjeta Crédito,Dell Inspiron 15,Dell,1,3000000,3000000,Acer Predator Helios 300,Acer,20.0,56000000.0,112000000.0,,,,,,0,142000000,2023,4
42,19/05/2017,07:34 p. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Maxi Borrell Nicolau,F,23,maxi87@gmail.com,+34 975 21 62 23,cll 82 #42-38,No especificado,HP Omen 16,HP,1,6000000,6000000,Apple MacBook Air M1,Apple,10.0,55000000.0,55000000.0,Dell Latitude 7420,Dell,20.0,56000000.0,112000000.0,5,215650000,2017,5
43,17/03/2018,07:00 a. m.,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Úrsula Miranda Alcalá,F,46,No especificado,+34876095711,cra 64 #7-25,Tarjeta Crédito,Microsoft Surface Go 3,Microsoft,1,3000000,3000000,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,HP Omen 16,HP,20.0,60000000.0,120000000.0,0,286000000,2018,3
44,31/05/2018,05:12 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Noemí Solano Aramburu,F,39,noemí90@hotmail.com,+34 846 170 671,cra 3 #25-6,Transferencia,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Acer Aspire 5,Acer,20.0,20000000.0,40000000.0,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,0,232000000,2018,5
45,07/10/2022,12:44 p. m.,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Andrea de Heredia,F,26,andrea67@hotmail.com,+34843 79 21 52,cra 34 #53-41,Billetera Digital,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,Lenovo Yoga 7i,Lenovo,20.0,44000000.0,88000000.0,Lenovo Legion 5 Pro,Lenovo,20.0,72000000.0,144000000.0,0,368000000,2022,10
46,30/09/2018,04:01 a. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Brunilda Escudero Pallarès,F,28,brunilda95@yahoo.com,+34 960 48 59 65,cll 73 #22-84,Tarjeta Crédito,Lenovo Yoga 7i,Lenovo,2,4400000,8800000,Apple MacBook Air M1,Apple,20.0,55000000.0,110000000.0,,,,,,0,198000000,2018,9
47,27/03/2022,05:26 a. m.,TechCore Bogotá #2,Bogotá,Olivia Armas Ayuso,Mariano Sebastian Quiroga Tapia,M,47,mariano6@yahoo.com,+34826 288 307,cra 32 #17-65,Tarjeta Débito,Apple MacBook Pro 14,Apple,2,8000000,16000000,,,,,,,,,,,5,152000000,2022,3
48,19/08/2019,03:18 p. m.,TechCore Bogotá #1,Bogotá,Poncio Gabriel Poza Acedo,Luís Gaspar Zaragoza Botella,M,34,luís57@hotmail.com,+34 826583143,cll 22 #44-70,Tarjeta Crédito,Asus VivoBook 15,Asus,1,2400000,2400000,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,MSI GF65 Thin,MSI,20.0,44000000.0,88000000.0,0,160000000,2019,8
49,30/04/2024,06:07 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Ema Alba Mata Chamorro,F,44,ema39@yahoo.com,+34978 13 57 97,cll 41 #21-35,Efectivo,Asus ZenBook 14,Asus,2,3800000,7600000,Lenovo Legion 5 Pro,Lenovo,20.0,72000000.0,144000000.0,,,,,,0,220000000,2024,4
50,31/08/2020,05:59 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Ruperta Martí-Nevado,F,28,ruperta11@hotmail.com,+34834 85 81 86,cll 96 #4-5,Tarjeta Crédito,HP Omen 16,HP,2,6000000,12000000,Samsung Galaxy Book Flex,Samsung,20.0,56000000.0,112000000.0,,,,,,0,232000000,2020,8
51,13/09/2016,10:43 p. m.,TechCore Bogotá #1,No especificado,Aura del Bermúdez,Baltasar Quintanilla Moles,M,38,baltasar29@yahoo.com,+34901 348 779,cra 27 #98-31,No especificado,Dell Latitude 7420,Dell,2,5600000,11200000,Asus TUF Gaming A15,Asus,20.0,48000000.0,96000000.0,HP Pavilion 15,HP,20.0,35000000.0,70000000.0,0,278000000,2016,9
52,22/09/2023,11:05 a. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Ofelia Torrecilla Dominguez,F,33,ofelia58@yahoo.com,+34981 838 943,cra 5 #83-90,Tarjeta Crédito,Apple iMac 24,Apple,1,6400000,6400000,Acer Swift 3,Acer,20.0,26000000.0,52000000.0,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,5,155800000,2023,9
53,07/01/2016,02:43 a. m.,TechCore Medellín #1,Medellín,Dominga del Alcántara,Luis Ángel Carlos Aragonés,M,27,luis23@gmail.com,+34803411782,cll 52 #65-81,Efectivo,Apple MacBook Pro 14,Apple,2,8000000,16000000,,,,,,,,,,,0,160000000,2016,1
54,01/06/2017,07:50 a. m.,TechCore Medellín #2,Medellín,Luisina Lasa,Alfonso Lerma,M,22,alfonso45@gmail.com,+34974 41 70 60,cll 37 #23-93,Tarjeta Crédito,HP Envy 13,HP,2,4000000,8000000,Acer Nitro 5,Acer,10.0,40000000.0,40000000.0,Dell Alienware m15,Dell,20.0,80000000.0,160000000.0,0,280000000,2017,6
55,28/08/2021,06:44 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Marciano Barberá Espada,M,40,marciano12@gmail.com,+34 876323627,cra 26 #44-70,Transferencia,Dell XPS 13,Dell,1,4800000,4800000,HP Omen 16,HP,20.0,60000000.0,120000000.0,,,,,,5,159600000,2021,8
56,16/01/2018,02:50 p. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Eugenio de Camps,M,25,eugenio55@hotmail.com,+34979910172,cra 10 #40-70,Tarjeta Crédito,Samsung Galaxy Book Pro,Samsung,2,4800000,9600000,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,,,,,,1,129600000,2018,1
57,16/01/2018,05:10 p. m.,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Olalla Jáuregui Durán,F,25,olalla76@gmail.com,+34941285934,cra 6 #63-15,No especificado,HP Spectre x360,HP,2,5200000,10400000,Apple MacBook Pro 14,Apple,10.0,80000000.0,80000000.0,,,,,,0,184000000,2018,1
58,06/10/2023,06:31 p. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Xiomara Manuel Barroso,F,26,xiomara18@yahoo.com,+34845 70 43 54,cll 81 #21-99,Efectivo,Asus ZenBook 14,Asus,2,3800000,7600000,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,,,,,,0,120000000,2023,10
59,29/08/2016,03:59 a. m.,TechCore Bogotá #1,Bogotá,Aura del Bermúdez,Morena Abascal Luna,F,44,morena58@hotmail.com,+34 849 06 71 18,cll 56 #91-22,Tarjeta Crédito,MSI Modern 14,MSI,1,2800000,2800000,Apple MacBook Pro 14,Apple,20.0,80000000.0,160000000.0,,,,,,0,188000000,2016,8
60,23/04/2023,01:37 a. m.,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Paz Rovira-Segarra,F,26,paz16@gmail.com,+34926 54 67 19,cra 13 #69-98,Transferencia,Asus ZenBook 14,Asus,2,3800000,7600000,,,,,,,,,,,5,72200000,2023,4
61,10/03/2021,02:37 a. m.,TechCore Medellín #1,Medellín,Dominga del Alcántara,Ruben Machado,M,34,ruben31@yahoo.com,+34 920870860,cll 85 #20-8,Tarjeta Débito,Dell Inspiron 15,Dell,1,3000000,3000000,Lenovo IdeaPad 5,Lenovo,20.0,28000000.0,56000000.0,,,,,,0,86000000,2021,3
62,23/08/2021,12:55 a. m.,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Ileana Castejón Uriarte,F,47,ileana72@hotmail.com,+34944 240 332,cra 66 #10-58,Tarjeta Crédito,Lenovo Yoga 7i,Lenovo,2,4400000,8800000,Microsoft Surface Go 3,Microsoft,20.0,30000000.0,60000000.0,,,,,,0,148000000,2021,8
63,08/10/2020,02:33 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Olimpia Palma Bertrán,F,40,olimpia26@hotmail.com,+34848 37 53 91,cll 91 #71-96,Tarjeta Débito,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,,,,,,,,,,,0,72000000,2020,10
64,24/09/2018,01:59 p. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Leire Monreal Martin,F,21,leire56@gmail.com,+34 902243095,cll 86 #29-65,Tarjeta Crédito,HP Pavilion 15,HP,1,3500000,3500000,Acer Swift 3,Acer,10.0,26000000.0,26000000.0,Acer Predator Helios 300,Acer,10.0,56000000.0,56000000.0,0,117000000,2018,9
65,07/07/2017,03:35 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Ascensión Florinda Murcia Cervantes,F,23,No especificado,+34 822 01 12 43,cra 40 #60-34,Tarjeta Débito,Asus ZenBook 14,Asus,1,3800000,3800000,HP Omen 16,HP,10.0,60000000.0,60000000.0,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,0,142000000,2017,7
66,30/12/2018,03:36 a. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Eufemia Lloret Arcos,F,43,eufemia51@hotmail.com,+34858001565,cll 45 #95-87,Billetera Digital,Dell Latitude 7420,Dell,1,5600000,5600000,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,Dell Alienware m15,Dell,20.0,80000000.0,160000000.0,0,264000000,2018,12
67,02/05/2017,03:27 p. m.,TechCore Pereira,Pereira,Carina Parejo Carranza,Begoña Ruiz,F,43,begoña45@hotmail.com,+34 974249867,cra 97 #23-44,Transferencia,Lenovo Yoga 7i,Lenovo,1,4400000,4400000,Apple MacBook Air M1,Apple,20.0,55000000.0,110000000.0,,,,,,15,130900000,2017,5
68,04/10/2016,03:06 p. m.,TechCore Pereira,Pereira,Anacleto Morera Segovia,Tristán del Mayo,M,32,tristán75@gmail.com,+34872 31 06 79,cll 90 #25-71,Tarjeta Crédito,Asus ZenBook 14,Asus,2,3800000,7600000,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,Acer Aspire 5,Acer,10.0,20000000.0,20000000.0,5,182400000,2016,10
69,30/07/2022,10:25 a. m.,TechCore Bogotá #1,Bogotá,Griselda Arnaiz Palacio,Toni Bermudez-Roldan,M,40,toni93@gmail.com,+34 924 58 42 83,cra 47 #50-20,Tarjeta Crédito,Apple MacBook Air M1,Apple,1,5500000,5500000,Dell Inspiron 15,Dell,10.0,30000000.0,30000000.0,,,,,,5,80750000,2022,7
70,17/08/2024,07:42 a. m.,TechCore Cali,Cali,Jacinta Juárez Marín,Efraín Gomila Barroso,M,34,No especificado,+34 810 64 80 73,cll 75 #91-12,Transferencia,Lenovo IdeaPad 5,Lenovo,1,2800000,2800000,HP Pavilion 15,HP,20.0,35000000.0,70000000.0,,,,,,0,98000000,2024,8
71,13/03/2024,10:03 p. m.,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Blanca Gras-Barreda,F,33,blanca18@gmail.com,+34 900904725,cll 83 #22-82,Billetera Digital,HP Spectre x360,HP,1,5200000,5200000,,,,,,,,,,,0,52000000,2024,3
72,07/07/2018,10:38 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Gustavo Salvà Armas,M,21,gustavo75@hotmail.com,+34633 19 51 25,cra 58 #78-32,Efectivo,Acer Aspire 5,Acer,1,2000000,2000000,Apple MacBook Pro 14,Apple,10.0,80000000.0,80000000.0,,,,,,5,95000000,2018,7
73,02/10/2014,11:42 a. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Eliseo Jurado Lopez,M,33,No especificado,+34807110217,cll 69 #52-37,Efectivo,Asus VivoBook 15,Asus,1,2400000,2400000,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,,,,,,5,68400000,2014,10
74,29/10/2014,07:29 p. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Heraclio Valenciano Arana,M,29,heraclio76@yahoo.com,+34 848 611 288,cra 8 #36-31,Tarjeta Crédito,Acer Aspire 5,Acer,2,2000000,4000000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,Lenovo IdeaPad 5,Lenovo,20.0,28000000.0,56000000.0,1,147600000,2014,10
